仓库名,星数,语言,更新时间,项目描述,话题标签,是否支持捐赠,是否有Issues,仓库ID,类型
pathak22/context-encoder,905,Lua,2020-07-19T21:37:48.193Z,[CVPR 2016] <em>Unsupervised</em> Feature <em>Learning</em> by Image Inpainting using GANs,"machine-learning,computer-vision,deep-learning,computer-graphics,generative-adversarial-network,gan,dcgan,unsupervised-learning,image-inpainting,context-encoders",False,True,56881233,Public
MishaLaskin/curl,604,Python,2020-10-28T23:40:11.520Z,CURL: Contrastive <em>Unsupervised</em> Representation <em>Learning</em> for Sample-Efficient Reinforcement <em>Learning</em>,"deep-neural-networks,reinforcement-learning,deep-learning,curl,gpu,deep-reinforcement-learning,deep-learning-algorithms,reinforcement-learning-algorithms,deeplearning,deep-q-network,sac,deep-q-learning,reinforcement-agents,deep-rl,deeplearning-ai,contrastive-loss,off-policy,contrastive-predictive-coding,model-free-rl,contrastive-learning",False,True,239225296,Public template
ironhack-labs/lab-<em>unsupervised</em>-<em>learning</em>-en,0,Jupyter Notebook,2024-06-26T20:39:17.258Z,,,False,True,805556446,Public
KaiyangZhou/pytorch-vsumm-reinforce,504,Python,2023-12-11T16:34:57.911Z,<em>Unsupervised</em> video summarization with deep reinforcement <em>learning</em> (AAAI'18),"machine-learning,reinforcement-learning,computer-vision,deep-learning,video-summarization,unsupervised-learning,policy-network",False,True,130244363,Public
utkuozbulak/<em>unsupervised</em>-<em>learning</em>-document-clustering,87,Python,2018-03-05T14:00:36.676Z,Document clustering and topic modelling with Python,,False,True,86600623,Public
xiaolonw/caffe-video_triplet,176,C++,2018-01-19T21:59:21.266Z,<em>Unsupervised</em> <em>Learning</em> using Videos (ICCV 2015),,False,True,42559556,Public
learn-co-curriculum/dsc-<em>unsupervised</em>-<em>learning</em>,3,Jupyter Notebook,2023-04-27T22:39:01.506Z,,v2-4,False,True,184447989,Public
nilanjansb/<em>unsupervised</em>_<em>learning</em>,20,Jupyter Notebook,2024-08-16T10:38:41.931Z,,,False,True,843354476,Public
JiawangBian/SC-SfMLearner-Release,743,Python,2022-09-05T06:48:51.690Z,<em>Unsupervised</em> Scale-consistent Depth <em>Learning</em> from Video (IJCV2021 &amp; NeurIPS 2019),"depth-estimation,visual-odometry,kitti,nyuv2-dataset,sc-sfmlearner",False,True,205329532,Public
ContentUpgrad/<em>Unsupervised</em>-<em>Learning</em>-Principal-Component-Analysis,13,Jupyter Notebook,2022-05-17T12:23:30.234Z,,,False,True,440148920,Public
CuriousAI/ladder,519,Python,2017-08-15T22:03:39.708Z,Ladder network is a deep <em>learning</em> algorithm that combines supervised and <em>unsupervised</em> <em>learning</em>,,False,True,38669931,Public
facebookresearch/contriever,776,Python,2023-04-07T10:14:11.988Z,Contriever: <em>Unsupervised</em> Dense Information Retrieval with Contrastive <em>Learning</em>,,False,True,439404172,Public archive
kevincwu0/<em>unsupervised</em>-<em>learning</em>-article-spinner,74,Python,2017-08-12T20:57:08.928Z,<em>Unsupervised</em> <em>learning</em> approach to building an article spinner to automatically generate content,,False,True,100135307,Public
ironhack-labs/lab-<em>unsupervised</em>-<em>learning</em>-intro,0,,2024-07-26T15:28:42.301Z,,,False,True,315445310,Public
zhengqili/<em>unsupervised</em>-<em>learning</em>-intrinsic-images,109,OpenEdge ABL,2021-05-28T05:05:03.372Z,"Implementation of the intrinsic image decomposition algorithm described in ""<em>Learning</em> Intrinsic Image Decomposition from Watching the Worl…",,False,True,128239316,Public
salesforce/PCL,608,Python,2025-05-01T17:27:42.259Z,"PyTorch code for ""Prototypical Contrastive <em>Learning</em> of <em>Unsupervised</em> Representations""","representation-learning,self-supervised-learning,pre-trained-model,unsupervsied-learning,contrastive-learning",False,True,283078844,Public archive
Sohl-Dickstein/Diffusion-Probabilistic-Models,539,Python,2017-02-28T20:31:45.058Z,Reference implementation for Deep <em>Unsupervised</em> <em>Learning</em> using Nonequilibrium Thermodynamics,,False,True,35744089,Public
ta-data-lis/lab-<em>unsupervised</em>-<em>learning</em>,0,Jupyter Notebook,2023-12-15T13:46:09.866Z,,,False,True,211089302,Public
yhfudev/doc-ml-ufldl,94,TeX,2017-09-21T13:36:23.055Z,<em>Unsupervised</em> Feature <em>Learning</em> and Deep <em>Learning</em> Tutorial,,False,True,21712113,Public
PyRetri/PyRetri,1183,Python,2021-01-25T05:22:48.162Z,Open source deep <em>learning</em> based <em>unsupervised</em> image retrieval toolbox built on PyTorch🔥,"deep-learning,pytorch,toolbox,image-retrieval",False,True,257589081,Public
PacktWorkshops/The-<em>Unsupervised</em>-<em>Learning</em>-Workshop,33,Jupyter Notebook,2026-03-02T12:34:45.543Z,An Interactive Approach to Understanding <em>Unsupervised</em> <em>Learning</em> Algorithms,"topic-modeling,k-means,principal-component-analysis,hierarchical-clustering,dbscan-clustering,market-basket-analysis,agglomerative-clustering,hotspot-analysis",False,True,229263996,Public
smousavi05/<em>Unsupervised</em>_Deep_<em>Learning</em>,80,Jupyter Notebook,2022-04-07T10:17:32.459Z,<em>Unsupervised</em> (Self-Supervised) Clustering of Seismic Signals Using Deep Convolutional Autoencoders,"deep-learning,neural-network,autoencoder,convolutional-neural-networks,discrimination,seismic-data",False,True,181130421,Public
coxlab/prednet,802,Python,2024-08-07T17:17:28.853Z,"Code and models accompanying ""Deep Predictive Coding Networks for Video Prediction and <em>Unsupervised</em> <em>Learning</em>""",,False,True,62921257,Public
PacktPublishing/HandsOn-<em>Unsupervised</em>-<em>Learning</em>-with-Python,49,Python,2021-01-15T09:03:40.267Z,"HandsOn-<em>Unsupervised</em>-<em>Learning</em>-with-Python, Published by Packt",,False,True,146739854,Public
carpedm20/simulated-<em>unsupervised</em>-tensorflow,576,Python,2019-12-10T02:36:54.421Z,"TensorFlow implementation of ""<em>Learning</em> from Simulated and <em>Unsupervised</em> Images through Adversarial Training""","apple,deep-learning,tensorflow,synthetic-images,generative-model",False,True,77440857,Public
frank-xwang/CLD-<em>UnsupervisedLearning</em>,101,Python,2022-05-08T09:57:08.254Z,"[CVPR 2021] Code release for ""<em>Unsupervised</em> Feature <em>Learning</em> by Cross-Level Instance-Group Discrimination.""",,False,True,279650515,Public
NVIDIA/<em>UnsupervisedLandmarkLearning</em>,46,Python,2020-02-12T00:13:38.768Z,Implementation for the <em>unsupervised</em> latent landmark <em>learning</em> work from NVIDIA Applied Deep <em>Learning</em> Research,,False,True,233710742,Public
benedekrozemberczki/karateclub,2280,Python,2024-07-17T19:00:35.000Z,Karate Club: An API Oriented Open-source Python Framework for <em>Unsupervised</em> <em>Learning</em> on Graphs (CIKM 2020),"machine-learning,sklearn,community-detection,network-science,deepwalk,networkx,supervised-learning,louvain,unsupervised-learning,network-embedding,scikit,label-propagation,gcn,graph-clustering,node2vec,networkx-graph,graph-embedding,graph2vec,node-embedding,2vec",True,True,226155948,Public
silvaan/<em>unsupervised-learning</em>,17,Jupyter Notebook,2026-05-19T15:11:01.536Z,,,False,True,1038307194,Public
francis-kang/handson-<em>unsupervised</em>-<em>learning</em>,21,Jupyter Notebook,2020-07-27T04:48:17.723Z,"도서 ""핸즈온 비지도 학습 - 텐서플로, 케라스, 사이킷런을 활용한 알고리즘과 방법론, AI 활용 사례""의 코드 저장소입니다.",,False,True,265606867,Public
kylehkhsu/cactus-maml,123,Python,2019-04-27T05:15:52.397Z,Code for <em>Unsupervised</em> <em>Learning</em> via Meta-<em>Learning</em>.,,False,True,152851697,Public
rinuboney/ladder,242,Python,2017-03-16T14:39:09.807Z,Ladder network is a deep <em>learning</em> algorithm that combines supervised and <em>unsupervised</em> <em>learning</em>.,"deep-learning-algorithms,unsupervised-learning,ladder-network",False,True,47119139,Public
