仓库名,星数,语言,更新时间,项目描述,话题标签,是否支持捐赠,是否有Issues,仓库ID,类型
AI4Finance-Foundation/FinRL,15214,Jupyter Notebook,2026-05-18T22:58:33.056Z,FinRL®: Financial <em>Reinforcement</em> <em>Learning</em>. 🔥,"finance,deep-reinforcement-learning,openai-gym,fintech,algorithmic-trading,stock-trading,multi-agent-learning,stock-markets,pythorch,tensorflow2,drl-trading-agents,drl-algorithms,drl-framework,trading-tasks",False,True,282653872,Public template
p-christ/Deep-<em>Reinforcement</em>-<em>Learning</em>-Algorithms-with-PyTorch,5938,Python,2024-07-25T10:14:35.362Z,PyTorch implementations of deep <em>reinforcement</em> <em>learning</em> algorithms and environments,,False,True,147824034,Public
junhyukoh/deep-<em>reinforcement</em>-<em>learning</em>-papers,2197,,2016-06-15T16:32:20.694Z,A list of recent papers regarding deep <em>reinforcement</em> <em>learning</em>,,False,True,43456732,Public
wangshusen/DRL,4616,,2022-12-10T13:25:34.651Z,Deep <em>Reinforcement</em> <em>Learning</em>,,False,True,280908823,Public
openai/gym,37212,Python,2026-03-26T23:13:27.506Z,A toolkit for developing and comparing <em>reinforcement</em> <em>learning</em> algorithms.,,False,True,57222302,Public archive
nicknochnack/<em>ReinforcementLearning</em>Course,331,Jupyter Notebook,2022-01-22T15:26:48.958Z,,,False,True,373031212,Public
huggingface/trl,18449,Python,2026-05-22T20:29:56.414Z,Train transformer language models with <em>reinforcement</em> <em>learning</em>.,,False,True,250510075,Public
vmayoral/basic_<em>reinforcement</em>_<em>learning</em>,1218,Jupyter Notebook,2023-07-14T07:49:28.129Z,An introductory series to <em>Reinforcement</em> <em>Learning</em> (RL) with comprehensive step-by-step tutorials.,"tutorial,reinforcement-learning,ai,deep-learning,openai-gym,q-learning,artificial-intelligence,neural-networks,deeplearning",False,True,58313601,Public
keras-rl/keras-rl,5556,Python,2023-09-17T12:33:41.514Z,Deep <em>Reinforcement</em> <em>Learning</em> for Keras.,"machine-learning,theano,reinforcement-learning,tensorflow,keras,neural-networks",False,True,62458409,Public
wwxFromTju/awesome-<em>reinforcement</em>-<em>learning</em>-zh,2170,,2020-04-30T09:09:39.017Z,中文整理的强化学习资料（<em>Reinforcement</em> <em>Learning</em>）,,False,True,126666957,Public
openai/baselines,16718,Python,2024-08-01T21:31:33.383Z,OpenAI Baselines: high-quality implementations of <em>reinforcement</em> <em>learning</em> algorithms,,False,True,92238803,Public
google-deepmind/trfl,3134,Python,2022-12-08T18:07:05.487Z,TensorFlow <em>Reinforcement</em> <em>Learning</em>,,False,True,144027556,Public
MatthewJA/Inverse-<em>Reinforcement</em>-<em>Learning</em>,1070,Python,2022-10-21T07:40:38.500Z,Implementations of selected inverse <em>reinforcement</em> <em>learning</em> algorithms.,"reinforcement-learning,inverse-reinforcement-learning",False,True,44781062,Public
JuliaReinforcementLearning/<em>ReinforcementLearning</em>.jl,653,Julia,2026-04-08T01:29:04.429Z,A <em>reinforcement</em> <em>learning</em> package for Julia,"machine-learning,reinforcement-learning,julia,deep-reinforcement-learning,deep-q-network",True,True,136470354,Public
yenchenlin/Deep<em>Learning</em>FlappyBird,6804,Python,2024-08-07T16:58:16.243Z,Flappy Bird hack using Deep <em>Reinforcement</em> <em>Learning</em> (Deep Q-<em>learning</em>).,"game,deep-learning,deep-reinforcement-learning",False,True,53912913,Public
PufferAI/PufferLib,5724,C,2026-05-22T22:48:54.117Z,Puffing up <em>reinforcement</em> <em>learning</em>,reinforcement-learning,False,True,537666394,Public
Pulkit-Khandelwal/<em>Reinforcement</em>-<em>Learning</em>-Notebooks,1046,Jupyter Notebook,2018-06-21T20:41:50.565Z,A collection of <em>Reinforcement</em> <em>Learning</em> algorithms from Sutton and Barto's book and other research papers implemented in Python.,,False,True,135859563,Public
thu-ml/tianshou,10734,Python,2026-04-03T21:34:47.821Z,An elegant PyTorch deep <em>reinforcement</em> <em>learning</em> library.,"pytorch,dqn,policy-gradient,rl,cql,atari,ddpg,imitation-learning,sac,drl,npg,double-dqn,trpo,mujoco,ppo,a2c,td3,bcq,transferlab",False,True,129815042,Public
kh-kim/stock_market_<em>reinforcement</em>_<em>learning</em>,793,Python,2016-12-23T07:34:59.356Z,This project provides a stock market environment using OpenGym with Deep Q-<em>learning</em> and Policy Gradient.,,False,True,69974468,Public
tensorlayer/TensorLayer,7389,Python,2023-02-18T07:58:21.394Z,Deep <em>Learning</em> and <em>Reinforcement</em> <em>Learning</em> Library for Scientists and Engineers ,"python,google,reinforcement-learning,deep-learning,neural-network,tensorflow,chatbot,artificial-intelligence,gan,dqn,imagenet,tensorflow-tutorials,object-detection,a3c,tensorlayer,tensorflow-tutorial",False,True,60626727,Public
upb-lea/<em>reinforcement</em>_<em>learning</em>_course_materials,1119,Jupyter Notebook,2026-01-05T12:00:53.016Z,"Lecture notes, tutorial tasks including solutions as well as online videos for the <em>reinforcement</em> <em>learning</em> course hosted by Paderborn Univ…","python,machine-learning,tutorial,control,course,latex,reinforcement-learning,course-materials,jupyter,prediction,teaching,lecture,jupyter-notebooks,lecture-notes,teaching-materials,online-learning,open-education,open-education-resources,open-educational-resources,online-videos",False,True,281059645,Public
rllm-org/rllm,5553,Python,2026-05-22T23:13:51.043Z,Democratizing <em>Reinforcement</em> <em>Learning</em> for LLMs,"machine-learning,reinforcement-learning,tinker,distributed-training,ml-infrastructure,ml-platform,agent-framework,search-agent,llm-training,llm-reasoning,agentic-workflow,swe-agent,verl,coding-agent",False,True,922406522,Public
PWhiddy/PokemonRedExperiments,7847,Jupyter Notebook,2025-08-28T18:15:47.140Z,Playing Pokemon Red with <em>Reinforcement</em> <em>Learning</em>,,False,True,230064796,Public
Rafael1s/Deep-<em>Reinforcement</em>-<em>Learning</em>-Algorithms,1014,Jupyter Notebook,2021-06-17T21:58:26.916Z,"32 projects in the framework of Deep <em>Reinforcement</em> <em>Learning</em> algorithms: Q-<em>learning</em>, DQN, PPO, DDPG, TD3, SAC, A2C and others. Each projec…","deep-reinforcement-learning,dqn,cartpole,ddpg,sac,deep-rl-algorithms,ppo,a2c,lunarlander,td3,soft-actor-critic,bipedalwalker,carracing,github-udacity,dqn-ppo-ddpg,hopperbulletenv,antbulletenv,halfcheetahbulletenv,walker2dbulletenv",False,True,179998827,Public
pytorch/examples,23902,Python,2025-09-01T17:21:47.573Z,"A set of examples around pytorch in Vision, Text, <em>Reinforcement</em> <em>Learning</em>, etc.",,False,True,66424871,Public
AI4Finance-Foundation/ElegantRL,4335,Python,2026-02-20T04:33:56.723Z,Massively Parallel Deep <em>Reinforcement</em> <em>Learning</em>. 🔥,"lightweight,reinforcement-learning,gae,efficient,pytorch,stable,dqn,ddpg,sac,per,multiple-gpu,ppo,a2c,td3,model-free-rl,drl-pytorch,bipedalwalkerhardcore",False,True,196501110,Public
PacktPublishing/Deep-<em>Reinforcement</em>-<em>Learning</em>-Hands-On-Second-Edition,1285,Jupyter Notebook,2024-04-04T18:46:48.487Z,"Deep-<em>Reinforcement</em>-<em>Learning</em>-Hands-On-Second-Edition, published by Packt",,False,True,195020985,Public
DeepReinforcementLearning/Deep<em>ReinforcementLearning</em>InAction,848,Jupyter Notebook,2024-04-22T00:57:24.709Z,"Code from the Deep <em>Reinforcement</em> <em>Learning</em> in Action book from Manning, Inc",,False,True,126934332,Public
gxnk/<em>reinforcement</em>-<em>learning</em>-code,392,Python,2020-08-06T08:58:00.402Z,,,False,True,91696056,Public
llSourcell/<em>Reinforcement</em>_<em>Learning</em>_for_Stock_Prediction,652,Python,2022-06-28T01:18:57.074Z,"This is the code for ""<em>Reinforcement</em> <em>Learning</em> for Stock Prediction"" By Siraj Raval on Youtube",,False,True,141210059,Public
MJeremy2017/<em>reinforcement</em>-<em>learning</em>-implementation,344,Jupyter Notebook,2024-07-09T01:01:09.763Z,<em>Reinforcement</em> <em>Learning</em> examples implementation and explanation,,False,True,181258867,Public
pythonlessons/<em>Reinforcement</em>_<em>Learning</em>,411,Python,2023-03-25T01:33:39.478Z,<em>Reinforcement</em> <em>learning</em> tutorials,"reinforcement-learning,dqn,policy-gradient,a3c,ddqn,dueling-dqn,ppo,a2c,lunarlander,d3qn,bipedalwalker,ppo-agent,actor-critic-algorythm",False,True,233614411,Public
rlcode/<em>reinforcement</em>-<em>learning</em>-kr,387,Python,2020-10-28T00:22:08.884Z,[파이썬과 케라스로 배우는 강화학습] 예제,"openai-gym,dqn,grid-world,policy-gradient,actor-critic",False,True,95591579,Public
harvitronix/<em>reinforcement</em>-<em>learning</em>-car,496,Python,2020-09-24T22:37:30.923Z,Using <em>reinforcement</em> <em>learning</em> to teach a car to avoid obstacles.,,False,True,51152570,Public
rail-berkeley/rlkit,2901,Python,2024-06-17T17:33:51.921Z,Collection of <em>reinforcement</em> <em>learning</em> algorithms,,False,True,118840360,Public
mpatacchiola/dissecting-<em>reinforcement</em>-<em>learning</em>,625,Python,2023-05-02T11:47:23.806Z,"Python code, PDFs and resources for the series of posts on <em>Reinforcement</em> <em>Learning</em> which I published on my personal blog","reinforcement-learning,genetic-algorithm,markov-chain,deep-reinforcement-learning,q-learning,neural-networks,mountain-car,sarsa,multi-armed-bandit,inverted-pendulum,actor-critic,temporal-differencing-learning,drone-landing,dissecting-reinforcement-learning",False,True,76040816,Public
dalmia/David-Silver-<em>Reinforcement</em>-<em>learning</em>,858,Jupyter Notebook,2022-03-31T00:28:42.998Z,Notes for the <em>Reinforcement</em> <em>Learning</em> course by David Silver along with implementation of various algorithms.,"python,reinforcement-learning,artificial-intelligence,course-notes,gym-environment,open-ai",False,True,116924594,Public
yandexdataschool/Practical_RL,6505,Jupyter Notebook,2026-03-31T20:00:24.234Z,A course in <em>reinforcement</em> <em>learning</em> in the wild,"reinforcement-learning,deep-learning,course-materials,mooc,tensorflow,keras,deep-reinforcement-learning,pytorch,hacktoberfest,git-course,pytorch-tutorials",False,True,79821807,Public
