仓库名,星数,语言,更新时间,项目描述,话题标签,是否支持捐赠,是否有Issues,仓库ID,类型
bitsandbytes-foundation/bitsandbytes,8224,Python,2026-05-22T19:12:07.885Z,Accessible <em>large</em> <em>language</em> <em>models</em> via k-bit quantization for PyTorch.,"machine-learning,pytorch,quantization,llm,qlora",True,True,373674258,Public
JohnMachado11/Build-a-<em>Large</em>-<em>Language</em>-<em>Model</em>-from-Scratch,351,Python,2024-12-20T23:43:52.062Z,Building a GPT-like LLM from scratch with PyTorch.,"python,ai,pytorch,artificial-intelligence,neural-networks,gpt,large-language-models,llm",False,True,866172019,Public
dipanjanS/training-fine-tuning-<em>large</em>-<em>language</em>-models-workshop-dhs2024,316,Jupyter Notebook,2025-02-28T02:13:49.215Z,"This repository will contain all the presentations, content, hands-on notebooks for a full day Generative AI workshop on Training, Fine-t…",,False,True,840035666,Public
albertan017/LLM4Decompile,6664,Python,2026-02-12T03:02:03.214Z,Reverse Engineering: Decompiling Binary Code with <em>Large</em> <em>Language</em> <em>Models</em>,"binary,reverse-engineering,decompile,large-language-models",False,True,764418725,Public
huggingface/nanotron,2698,Python,2026-04-07T13:25:10.949Z,Minimalistic <em>large</em> <em>language</em> <em>model</em> 3D-parallelism training,,False,True,690106318,Public
UKGovernmentBEIS/inspect_ai,2115,Python,2026-05-23T13:09:23.747Z,Inspect: A framework for <em>large</em> <em>language</em> <em>model</em> evaluations,,False,True,718665019,Public
burglarhobbit/Awesome-Medical-<em>Large</em>-<em>Language</em>-Models,391,,2025-05-29T16:58:40.856Z,Curated papers on <em>Large</em> <em>Language</em> <em>Models</em> in Healthcare and Medical domain,"large-language-models,large-vision-language-models,multimodal-large-language-models",False,True,659499040,Public
manycore-research/SpatialLM,4563,Python,2025-09-26T15:41:42.297Z,[NeurIPS 2025] SpatialLM: Training <em>Large</em> <em>Language</em> <em>Models</em> for Structured Indoor <em>Modeling</em>,"point-clouds,scene-understanding,mllm,spatial-intelligence",False,True,948245457,Public
ML-GSAI/LLaDA,3796,Python,2025-11-12T02:30:01.247Z,"Official PyTorch implementation for ""<em>Large</em> <em>Language</em> Diffusion <em>Models</em>""",,False,True,932356580,Public
databrickslabs/dolly,10789,Python,2023-06-30T18:36:16.616Z,"Databricks’ Dolly, a <em>large</em> <em>language</em> <em>model</em> trained on the Databricks Machine Learning Platform","chatbot,gpt,databricks,dolly",False,True,618511002,Public
jingyaogong/minimind,50457,Python,2026-05-19T09:40:12.133Z,🧠「大模型」2小时完全从0训练64M的小参数LLM！Train a 64M-parameter LLM from scratch in just 2h!,"artificial-intelligence,large-language-model",False,True,834369920,Public
lm-sys/FastChat,39480,Python,2026-05-01T00:25:53.776Z,"An open platform for training, serving, and evaluating <em>large</em> <em>language</em> <em>models</em>. Release repo for Vicuna and Chatbot Arena.",,False,True,615882673,Public
QwenLM/Qwen3-VL,19222,Jupyter Notebook,2026-01-30T04:47:30.180Z,"Qwen3-VL is the multimodal <em>large</em> <em>language</em> <em>model</em> series developed by Qwen team, Alibaba Cloud.",,False,True,849239437,Public
aixcoder-plugin/aiXcoder-7B,2276,Python,2025-07-09T09:13:50.265Z,official repository of aiXcoder-7B Code <em>Large</em> <em>Language</em> <em>Model</em>,,False,True,779669964,Public
facebookresearch/<em>large</em>_concept_<em>model</em>,2360,Python,2025-01-29T05:57:33.234Z,<em>Large</em> Concept <em>Models</em>: <em>Language</em> <em>modeling</em> in a sentence representation space,"nlp,pytorch,seq2seq,sequence-to-sequence,language-models",False,True,902594666,Public
microsoftarchive/promptbench,2802,Python,2026-02-20T18:55:32.259Z,A unified evaluation framework for <em>large</em> <em>language</em> <em>models</em>,"benchmark,evaluation,prompt,robustness,adversarial-attacks,large-language-models,prompt-engineering,chatgpt",False,True,653171718,Public archive
MoonshotAI/Kimi-K2,10798,,2026-01-21T05:33:12.199Z,Kimi K2 is the <em>large</em> <em>language</em> <em>model</em> series developed by Moonshot AI team,,False,True,1013143108,Public
FMInference/FlexLLMGen,9370,Python,2024-10-28T03:05:41.211Z,Running <em>large</em> <em>language</em> <em>models</em> on a single GPU for throughput-oriented scenarios.,"machine-learning,deep-learning,offloading,high-throughput,opt,gpt-3,large-language-models",False,True,602270517,Public archive
baichuan-inc/Baichuan-7B,5659,Python,2024-07-18T14:23:01.736Z,A <em>large</em>-scale 7B pretraining <em>language</em> <em>model</em> developed by BaiChuan-Inc.,"natural-language-processing,artificial-intelligence,chinese,llama,huggingface,ceval,gpt-4,large-language-models,chatgpt,mmlu",False,True,653595084,Public
mainframecomputer/fullmoon-ios,2250,Swift,2025-05-05T13:56:01.962Z,chat with private and local <em>large</em> <em>language</em> <em>models</em>,,False,True,869836680,Public
maitrix-org/llm-reasoners,2342,Python,2025-06-10T02:19:40.579Z,A library for advanced <em>large</em> <em>language</em> <em>model</em> reasoning,,False,True,648049925,Public
huggingface/<em>large</em>_<em>language</em>_<em>model</em>_training_playbook,501,Python,2023-03-08T18:06:22.893Z,"An open collection of implementation tips, tricks and resources for training <em>large</em> <em>language</em> <em>models</em>","python,nlp,performance,scalability,cuda,pytorch,troubleshooting,nccl,large-language-models,llm",False,True,610169717,Public
